make|model|sales
Tata|Altroz|{'Aug 22': 4968, 'Aug 23': 7825, 'Dec 22': 4055, 'Dec 23': 4081, 'Feb 23': 3955, 'Feb 24': 4568, 'Jan 23': 5675, 'Jan 24': 4935, 'Jul 22': 5678, 'Jul 23': 7817, 'Jun 22': 5366, 'Jun 23': 7250, 'Mar 23': 3862, 'Mar 24': 5985, 'May 22': 4913, 'May 23': 5420, 'Nov 22': 5084, 'Nov 23': 4955, 'Oct 22': 4770, 'Oct 23': 5984, 'Sep 22': 5227, 'Sep 23': 6684}
Tata|Harrier|{'Aug 22': 2596, 'Aug 23': 1689, 'Dec 22': 2128, 'Dec 23': 1404, 'Feb 23': 2054, 'Feb 24': 2562, 'Jan 23': 1572, 'Jan 24': 2626, 'Jul 22': 3254, 'Jul 23': 2092, 'Jun 22': 3015, 'Jun 23': 2040, 'Mar 23': 2561, 'Mar 24': 2054, 'May 22': 2794, 'May 23': 2303, 'Nov 22': 2119, 'Nov 23': 2326, 'Oct 22': 2762, 'Oct 23': 1896, 'Sep 22': 2993, 'Sep 23': 926}
Tata|Tiago EV|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Hyundai|Venue N Line|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Hyundai|Ioniq 5|{'Aug 22': 0, 'Aug 23': 130, 'Dec 22': 0, 'Dec 23': 81, 'Feb 23': 0, 'Feb 24': 66, 'Jan 23': 0, 'Jan 24': 95, 'Jul 22': 0, 'Jul 23': 125, 'Jun 22': 0, 'Jun 23': 100, 'Mar 23': 21, 'Mar 24': 65, 'May 22': 0, 'May 23': 160, 'Nov 22': 0, 'Nov 23': 96, 'Oct 22': 0, 'Oct 23': 117, 'Sep 22': 0, 'Sep 23': 176}
Tata|Safari|{'Aug 22': 1820, 'Aug 23': 1019, 'Dec 22': 1502, 'Dec 23': 2103, 'Feb 23': 1252, 'Feb 24': 2648, 'Jan 23': 1032, 'Jan 24': 2893, 'Jul 22': 1761, 'Jul 23': 1687, 'Jun 22': 1869, 'Jun 23': 1663, 'Mar 23': 1890, 'Mar 24': 2063, 'May 22': 2242, 'May 23': 1776, 'Nov 22': 1437, 'Nov 23': 2207, 'Oct 22': 1751, 'Oct 23': 1340, 'Sep 22': 2030, 'Sep 23': 516}
Tata|Punch|{'Aug 22': 12006, 'Aug 23': 14523, 'Dec 22': 10586, 'Dec 23': 13787, 'Feb 23': 11169, 'Feb 24': 18438, 'Jan 23': 12006, 'Jan 24': 17978, 'Jul 22': 11007, 'Jul 23': 12019, 'Jun 22': 10414, 'Jun 23': 10990, 'Mar 23': 10894, 'Mar 24': 17547, 'May 22': 10241, 'May 23': 11124, 'Nov 22': 12131, 'Nov 23': 14383, 'Oct 22': 10982, 'Oct 23': 15317, 'Sep 22': 12251, 'Sep 23': 13036}
Hyundai|Kona Electric|{'Aug 22': 102, 'Aug 23': 91, 'Dec 22': 120, 'Dec 23': 19, 'Feb 23': 0, 'Feb 24': 86, 'Jan 23': 40, 'Jan 24': 102, 'Jul 22': 53, 'Jul 23': 60, 'Jun 22': 179, 'Jun 23': 75, 'Mar 23': 0, 'Mar 24': 71, 'May 22': 64, 'May 23': 84, 'Nov 22': 95, 'Nov 23': 19, 'Oct 22': 106, 'Oct 23': 44, 'Sep 22': 112, 'Sep 23': 69}
Tata|Xpres-T EV|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Mahindra|Scorpio Classic|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Tata|Altroz CNG|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Tata|Altroz Racer|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Mahindra|Thar|{'Aug 22': None, 'Aug 23': None, 'Dec 22': 3374, 'Dec 23': 5793, 'Feb 23': 5004, 'Feb 24': 5812, 'Jan 23': 4410, 'Jan 24': 6059, 'Jul 22': 3616, 'Jul 23': 5265, 'Jun 22': 3640, 'Jun 23': 3899, 'Mar 23': 5008, 'Mar 24': 6049, 'May 22': 3209, 'May 23': 4296, 'Nov 22': 3987, 'Nov 23': 5810, 'Oct 22': 3665, 'Oct 23': 5593, 'Sep 22': 4249, 'Sep 23': 5417}
Toyota|Innova Crysta|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Mahindra|XUV700|{'Aug 22': None, 'Aug 23': None, 'Dec 22': 5623, 'Dec 23': 5881, 'Feb 23': 4505, 'Feb 24': 6546, 'Jan 23': 5787, 'Jan 24': 7206, 'Jul 22': 6277, 'Jul 23': 6176, 'Jun 22': 6022, 'Jun 23': 5391, 'Mar 23': 5107, 'Mar 24': 6611, 'May 22': 5069, 'May 23': 5245, 'Nov 22': 5701, 'Nov 23': 7221, 'Oct 22': 5815, 'Oct 23': 9297, 'Sep 22': 6063, 'Sep 23': 8555}
Mahindra|Bolero|{'Aug 22': 8246, 'Aug 23': 9092, 'Dec 22': 7311, 'Dec 23': 7995, 'Feb 23': 9782, 'Feb 24': 10113, 'Jan 23': 8574, 'Jan 24': 9964, 'Jul 22': 7917, 'Jul 23': 8921, 'Jun 22': 7884, 'Jun 23': 8686, 'Mar 23': 9546, 'Mar 24': 10347, 'May 22': 8767, 'May 23': 8170, 'Nov 22': 7984, 'Nov 23': 9333, 'Oct 22': 8772, 'Oct 23': 9647, 'Sep 22': 8108, 'Sep 23': 9519}
Mahindra|XUV 400 Electric|{'Aug 22': 0, 'Aug 23': 778, 'Dec 22': None, 'Dec 23': None, 'Feb 23': 0, 'Feb 24': 610, 'Jan 23': 0, 'Jan 24': 697, 'Jul 22': 0, 'Jul 23': 707, 'Jun 22': 0, 'Jun 23': 788, 'Mar 23': 1909, 'Mar 24': 350, 'May 22': 0, 'May 23': 696, 'Nov 22': 0, 'Nov 23': 710, 'Oct 22': 0, 'Oct 23': 639, 'Sep 22': 0, 'Sep 23': 825}
Mahindra|Scorpio N|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Mahindra|XUV 3X0|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Mahindra|Bolero Neo|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Mahindra|Bolero Neo Plus|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Tata|Tigor CNG|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Tata|Tiago CNG|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Tata|Punch CNG|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Tata|Magic Mantra 10 Seater|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
